,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,95,NZ,1581832882,79,-46.19,168.86,64.0,8.99
1,Bonavista,12,CA,1581832882,79,48.65,-53.11,16.0,11.01
2,Yellowknife,5,CA,1581832865,73,62.46,-114.35,-27.99,6.93
3,Hay River,75,CA,1581832883,75,60.82,-115.8,-16.6,3.36
4,Road Town,1,VG,1581832883,78,18.42,-64.62,78.01,11.41
5,Rudbar,12,AF,1581832884,35,30.15,62.6,47.14,5.19
6,Mahebourg,40,MU,1581832884,65,-20.41,57.7,82.4,10.29
7,Punta Arenas,40,CL,1581832884,81,-53.15,-70.92,42.8,13.87
8,Cabo San Lucas,20,MX,1581832770,77,22.89,-109.91,62.6,8.05
9,Lebu,8,CL,1581832885,98,-37.62,-73.65,50.74,3.47
10,Atuona,98,PF,1581832885,78,-9.8,-139.03,81.23,14.09
11,Saurimo,100,AO,1581832885,94,-9.66,20.39,66.65,1.03
12,Farah,0,AF,1581832885,46,32.5,62.5,46.76,3.96
13,Jacareacanga,0,BR,1581832886,94,-6.22,-57.75,72.34,1.14
14,Kosikha,100,RU,1581832886,67,53.36,84.58,23.0,6.71
15,Bambous Virieux,40,MU,1581832886,65,-20.34,57.76,82.4,10.29
16,Port Elizabeth,72,ZA,1581832741,88,-33.92,25.57,77.0,4.7
17,Erzin,75,TR,1581832887,81,36.96,36.2,48.0,11.41
18,Karratha,0,AU,1581832887,73,-20.74,116.85,84.13,14.85
19,Hualmay,98,PE,1581832887,89,-11.1,-77.61,67.8,2.24
20,Buin,0,CL,1581832887,45,-33.73,-70.75,70.0,5.82
21,Mangai,36,CD,1581832744,83,-4.05,19.53,73.87,2.19
22,Rikitea,30,PF,1581832888,77,-23.12,-134.97,80.04,18.77
23,Airai,0,TL,1581832888,69,-8.93,125.41,81.66,2.98
24,Avarua,100,CK,1581832888,88,-21.21,-159.78,80.6,3.36
25,Fortuna,90,US,1581832889,93,40.6,-124.16,48.99,1.3
26,Qaanaaq,92,GL,1581832889,39,77.48,-69.36,-0.29,11.27
27,Ushuaia,20,AR,1581832889,86,-54.8,-68.3,41.0,10.29
28,Gizo,82,SB,1581832889,85,-8.1,156.84,79.38,12.57
29,Saint-Augustin,92,CA,1581832889,86,51.23,-58.65,11.48,19.22
30,Dikson,100,RU,1581832890,97,73.51,80.55,12.16,12.93
31,Mossamedes,98,AO,1581832890,77,-15.2,12.15,74.57,6.51
32,Fes,68,MA,1581832700,51,34.04,-5.0,48.2,6.93
33,Arraial do Cabo,0,BR,1581832890,89,-22.97,-42.03,77.56,20.24
34,Matara,0,LK,1581832890,51,5.95,80.54,88.86,8.39
35,Wangaratta,90,AU,1581832891,26,-36.37,146.33,91.99,10.29
36,Cherskiy,100,RU,1581832891,97,68.75,161.3,-31.88,5.91
37,Cape Town,20,ZA,1581832743,72,-33.93,18.42,71.01,20.8
38,Edgewater,90,US,1581832803,94,28.99,-80.9,70.0,3.36
39,Razole,0,IN,1581832892,42,16.48,81.83,87.69,5.97
40,Katsuura,75,JP,1581832892,93,35.13,140.3,53.01,4.7
41,Mehamn,81,NO,1581832892,92,71.04,27.85,14.16,8.95
42,Esperance,90,AU,1581832892,68,-33.87,121.9,69.8,17.22
43,Pevek,100,RU,1581832892,99,69.7,170.31,-23.39,4.21
44,Tasiilaq,48,GL,1581832893,53,65.61,-37.64,24.8,2.24
45,Tuktoyaktuk,20,CA,1581832893,64,69.45,-133.04,-41.8,4.7
46,Casper,1,US,1581832893,67,42.87,-106.31,28.99,17.22
47,Ibra,28,OM,1581832893,8,22.69,58.53,74.37,3.65
48,Talca,0,CL,1581832799,52,-35.43,-71.67,64.4,4.63
49,Portmore,20,JM,1581832894,65,17.97,-76.87,78.8,6.93
50,Hermanus,43,ZA,1581832894,73,-34.42,19.23,78.01,1.01
51,Faanui,100,PF,1581832895,70,-16.48,-151.75,83.37,7.16
52,Bridlington,100,GB,1581832895,100,54.08,-0.19,48.99,16.11
53,Riyadh,8,SA,1581832852,43,24.69,46.72,55.4,12.93
54,Ben Gardane,0,TN,1581832895,90,33.14,11.22,49.55,0.27
55,Olesnica,99,PL,1581832895,82,51.21,17.39,45.0,9.17
56,Hilo,1,US,1581832896,73,19.73,-155.09,73.99,6.17
57,Songjianghe,100,CN,1581832896,92,42.19,127.48,14.92,9.91
58,Buraidah,40,SA,1581832896,30,26.33,43.98,59.0,11.41
59,Cayenne,90,GF,1581832706,88,4.93,-52.33,77.0,5.82
60,Meulaboh,67,ID,1581832896,74,4.14,96.13,82.33,3.56
61,Hollins,1,US,1581832897,74,37.34,-79.94,30.99,2.73
62,Umm Kaddadah,16,SD,1581832897,31,13.6,26.69,69.4,13.53
63,George Town,40,MY,1581832613,74,5.41,100.34,87.8,10.29
64,Port Alfred,49,ZA,1581832897,82,-33.59,26.89,82.0,4.0
65,Cascais,90,PT,1581832898,100,38.7,-9.42,55.99,3.36
66,Nikolskoye,90,RU,1581832847,92,59.7,30.79,35.6,11.18
67,Kahului,1,US,1581832898,69,20.89,-156.47,73.4,16.11
68,Byron Bay,75,AU,1581832898,74,-28.65,153.62,86.0,10.29
69,San Patricio,21,MX,1581832898,64,19.22,-104.7,78.73,3.27
70,Makakilo City,75,US,1581832899,68,21.35,-158.09,75.2,5.82
71,Albury,77,AU,1581832899,29,-36.08,146.92,91.99,3.36
72,Sobolevo,99,RU,1581832899,89,54.43,31.9,31.19,13.18
73,Kaitangata,91,NZ,1581832899,72,-46.28,169.85,66.99,3.0
74,Saldanha,42,ZA,1581832900,93,-33.01,17.94,64.4,23.04
75,New Norfolk,20,AU,1581832900,48,-42.78,147.06,64.0,17.22
76,Lucea,20,JM,1581832900,78,18.45,-78.17,77.0,3.36
77,Slave Lake,90,CA,1581832900,85,55.28,-114.77,10.4,2.08
78,Hobart,20,AU,1581832900,48,-42.88,147.33,64.0,17.22
79,Kapaa,75,US,1581832901,78,22.08,-159.32,75.2,6.93
80,Lompoc,1,US,1581832901,100,34.64,-120.46,53.01,9.75
81,Barinas,0,VE,1581832901,48,8.62,-70.21,79.12,4.41
82,Hamilton,90,US,1581832826,48,39.18,-84.53,41.0,3.36
83,Tupik,0,RU,1581832902,82,54.43,119.93,10.9,1.86
84,Aklavik,5,CA,1581832902,65,68.22,-135.01,-36.4,3.36
85,Huai Thalaeng,0,TH,1581832902,34,15.0,102.65,100.99,3.36
86,Plymouth,40,US,1581832902,68,41.83,-70.83,35.6,10.29
87,Fairbanks,1,US,1581832745,66,64.84,-147.72,-16.6,4.7
88,Khovd,99,MN,1581832903,59,48.01,91.64,8.11,4.32
89,Albany,90,US,1581832801,57,42.6,-73.97,27.0,3.36
90,Brae,29,GB,1581832903,80,60.4,-1.35,44.6,20.8
91,Misratah,9,LY,1581832800,62,32.38,15.09,59.43,6.85
92,Ada,90,US,1581832706,98,43.42,-116.13,39.99,5.1
93,Vardo,100,NO,1581832904,87,70.37,31.11,22.6,10.25
94,Bonthe,4,SL,1581832904,96,7.53,-12.51,73.49,5.23
95,Margate,75,GB,1581832882,93,51.38,1.39,55.0,35.57
96,Tiksi,100,RU,1581832904,85,71.69,128.87,-1.64,8.93
97,Arona,0,ES,1581832905,67,28.1,-16.68,64.99,10.29
98,Jamestown,90,US,1581832905,63,42.1,-79.24,32.0,21.92
99,Yumen,34,CN,1581832905,19,40.28,97.2,28.54,17.69
100,Cockburn Town,0,TC,1581832681,76,21.46,-71.14,77.34,17.83
101,Hasaki,75,JP,1581832905,93,35.73,140.83,53.6,3.36
102,Am Timan,19,TD,1581832906,16,11.03,20.28,71.38,5.82
103,Ostrovnoy,100,RU,1581832906,87,68.05,39.51,24.96,18.81
104,Vaini,40,TO,1581832906,78,-21.2,-175.2,80.6,10.29
105,Namatanai,90,PG,1581832906,76,-3.67,152.43,83.77,13.65
106,Iqaluit,75,CA,1581832662,60,63.75,-68.51,-27.0,5.03
107,Jian,75,CN,1581832829,61,27.12,114.98,46.74,9.98
108,Calhoun,90,US,1581832907,92,42.25,-85.0,33.01,12.75
109,Si Satchanalai,0,TH,1581832907,55,17.52,99.76,95.0,3.36
110,Puerto Ayora,38,EC,1581832907,86,-0.74,-90.35,77.25,5.95
111,Nyagan,97,RU,1581832908,93,62.14,65.39,18.0,6.55
112,Yenagoa,81,NG,1581832908,97,4.92,6.26,73.49,1.97
113,Puerto Baquerizo Moreno,84,EC,1581832908,88,-0.9,-89.6,78.58,11.7
114,Sinnamary,74,GF,1581832908,85,5.38,-52.95,78.39,16.08
115,Asau,19,RO,1581832908,100,46.43,26.4,30.99,6.93
116,Kodiak,40,US,1581832909,92,57.79,-152.41,26.6,15.26
117,Norman Wells,20,CA,1581832909,71,65.28,-126.83,-45.4,2.24
118,Bud,90,US,1581832909,78,39.45,-86.18,42.01,13.87
119,Sussex,1,US,1581832909,68,41.18,-74.67,28.99,5.82
120,Busselton,30,AU,1581832909,71,-33.65,115.33,75.0,4.0
121,Vila Velha,20,BR,1581832910,88,-20.33,-40.29,78.8,5.82
122,Sioux Lookout,5,CA,1581832910,58,50.1,-91.92,-5.8,10.29
123,Provideniya,100,RU,1581832910,95,64.38,-173.3,-6.5,14.63
124,Bac Lieu,15,VN,1581832910,44,9.29,105.72,92.43,8.39
125,Ribeira Grande,100,PT,1581832911,90,38.52,-28.7,58.48,15.3
126,Nantucket,75,US,1581832911,69,41.28,-70.1,34.0,13.87
127,Vila Franca do Campo,20,PT,1581832911,93,37.72,-25.43,62.6,18.34
128,Port Hardy,40,CA,1581832910,86,50.7,-127.42,37.4,9.17
129,Oksfjord,12,NO,1581832912,85,70.24,22.35,19.4,19.46
130,Hithadhoo,4,MV,1581832912,71,-0.6,73.08,83.95,6.55
131,East London,20,ZA,1581832912,73,-33.02,27.91,77.0,1.12
132,Saskylakh,100,RU,1581832913,92,71.92,114.08,7.59,7.63
133,Barrow,1,US,1581832913,96,71.29,-156.79,-29.2,12.75
134,Kutum,0,SD,1581832913,25,14.2,24.67,62.94,2.84
135,Bousso,1,TD,1581832913,11,10.48,16.71,68.95,7.54
136,Baykit,43,RU,1581832913,88,61.67,96.37,11.07,3.47
137,Mount Gambier,90,AU,1581832914,77,-37.83,140.77,68.0,9.17
138,Fitchburg,1,US,1581832914,67,42.58,-71.8,27.0,4.7
139,Porto Murtinho,100,BR,1581832914,74,-21.7,-57.88,81.14,6.49
140,Baruun-Urt,0,MN,1581832914,86,46.68,113.28,9.93,7.02
141,Sao Jose da Coroa Grande,8,BR,1581832914,74,-8.9,-35.15,81.54,8.3
142,Praia,100,CV,1581832723,50,14.92,-23.51,75.2,16.11
143,Pokrovsk,0,UA,1581832915,83,48.28,37.18,27.16,4.0
144,Brigantine,1,US,1581832686,68,39.41,-74.36,35.01,6.93
145,Thompson,20,CA,1581832826,68,55.74,-97.86,-16.6,9.17
146,Severo-Kuril'sk,91,RU,1581832915,92,50.68,156.12,21.6,18.03
147,Marshfield,1,US,1581832916,79,44.67,-90.17,26.6,10.29
148,Kavaratti,20,IN,1581832916,70,10.57,72.64,86.0,4.7
149,Acarau,39,BR,1581832916,95,-2.89,-40.12,73.63,2.01
150,Deogarh,0,IN,1581832916,18,21.53,84.73,88.95,1.83
151,Shimoda,75,JP,1581832916,100,34.67,138.95,60.8,16.11
152,Copiapo,11,CL,1581832917,82,-27.37,-70.33,62.6,2.24
153,Raudeberg,83,NO,1581832917,81,61.99,5.14,42.8,19.46
154,Ancud,20,CL,1581832917,93,-41.87,-73.82,53.6,4.7
155,Hofn,100,IS,1581832917,62,64.25,-15.21,40.86,22.75
